timestamp,last,bid,ask,high,low,volume
1450196834,56166,56158,56159,56562,53409,4055.79062671
1450196844,56166,56158,56159,56562,53409,4055.54062671
1450196854,56166,56158,56159,56562,53409,4055.54062671
1450196975,56158,56158,56159,56562,53409,4055.64844671
